cover_idx,"album_cover","album","description"
2016,"Keith Urban _ Fuse.jpg","Keith Urban _ Fuse","No description"
2017,"Swing Now_ East Coast.jpg","Swing Now_ East Coast","No description"
2018,"A Midwinter Night's Dream.jpg","A Midwinter Night's Dream","No description"
2019,"The Best Of Billie Holiday.jpg","The Best Of Billie Holiday","No description"
2020,"The Billie Holiday Story Volume II.jpg","The Billie Holiday Story Volume II","No description"
2021,"Beethoven Concerto In D Major OP 61.jpg","Beethoven Concerto In D Major OP 61","No description"
2022,"2001 A Space Odyssey (soundtrack).jpg","Space Odessy Sound Track","No description"
2023,"Varèse_ the Complete Works (2 CDs).jpg","Varèse_ the Complete Works (2 CDs)","No description"
2024,"Future 2 Future.jpg","Future 2 Future","No description"
2025,"Rock 'N' Roll Legend_ Carl Perkins.jpg","Rock 'N' Roll Legend_ Carl Perkins","No description"
2026,"The Best of John Fahey 1959-1977 (Remastered).jpg","The Best of John Fahey 1959-1977 (Remastered)","No description"
2027,"IanAnderson_Thick As A Brick 2.jpg","Thick As A Brick 2","No description"
2028,"Golden Legends The Shangri-Las.jpg","Golden Legends The Shangri-Las","No description"
2029,"Monterey Concerts.jpg","Monterey Concerts","No description"
2030,"Desolation Boulevard.jpg","Desolation Boulevard","No description"
2031,"The Beat Goes On_ The Best Of Sonny & Cher.jpg","The Beat Goes On_ The Best Of Sonny & Cher","No description"
2032,"Zoo.jpg","Zoo","No description"
2033,"Cadence Classics_ Their 20 Greatest Hits.jpg","Cadence Classics_ Their 20 Greatest Hits","No description"
2034,"Blackjack.jpg","Blackjack","No description"
2035,"Here Comes My Baby _ Silence Is Golden (Re-Recorded Versions) - Single.jpg","Here Comes My Baby _ Silence Is Golden (Re-Recorded Versions) - Single","No description"
2036,"The Exciting Wilson Pickett.jpg","The Exciting Wilson Pickett","No description"
2037,"BlindFaith Blind Faith.jpg","Blind Faith","No description"
2038,"One Toke Over the Line.jpg","One Toke Over the Line","No description"
2039,"Brel.jpg","Brel","No description"
2040,"Modern Folk and Blues Wednesday.jpg","Modern Folk and Blues Wednesday","No description"
2041,"Rita Coolige.jpeg","Live At The Fillmore East_1970","No description"
2042,"Booker_T_Jones-The_Road_From_Memphis.jpg","Just a Friend [feat. Biz Markie, Matt Berninger, and Sharon Jones] - Single","No description"
2043,"The Very Best of the A&M Years (1977-1988).jpg","The Very Best of the A&M Years (1977-1988)","No description"
2044,"Stravinsky_Firebirdd.jpeg","The Firebird","No description"
2045,"Infernal Violins.jpg","Infernal Violins","No description"
2046,"Ace Frehley.jpg","Ace Frehley","No description"
2047,"Strauss Waltzes.jpg","Strauss Waltzes","No description"
2048,"Strauss Waltzes.jpg","Strauss Waltzes","No description"
2049,"Bittertown.jpg","Bittertown","No description"
2050,"Where Not to Look for Freedom - Single.jpg","Where Not to Look for Freedom - Single","No description"
2051,"J.L.W..jpg","J.L.W_","No description"
2052,"LeoSayer.jpeg","Leo Sayer","No description"
2053,"The Best of Jan & Dean (Re-recorded Version).jpg","The Best of Jan & Dean (Re-recorded Version)","No description"
2054,"Incesticide.jpg","Incesticide","No description"
2055,"TonyBennett XMas.jpg","Snowfall - The Tony Bennett Christmas Album","No description"
2056,"EmersonlakePalmer_cover.jpg","Emerson, Lake & Palmer","No description"
2057,"Saint-Saens_ Danse Macabre.jpg","Saint-Saens_ Danse Macabre","No description"
2058,"Wintersong.jpg","Wintersong","No description"
2059,"The Stray Birds.jpg","The Stray Birds","No description"
2060,"Golden Legends_ Freddy Fender Live.jpg","Golden Legends_ Freddy Fender Live","No description"
2061,"Incense & Peppermints.jpg","Incense & Peppermints","No description"
2062,"Private Dancer.jpg","Private Dancer","No description"
2063,"Merry Christmas.jpg","Merry Christmas","No description"
2064,"Peter Bjorn and John Eyes.jpg","Eyes - Single","No description"
2065,"Hi Infidelity (30th Anniversary Edition).jpg","Hi Infidelity (30th Anniversary Edition)","No description"
2066,"Have I the Right - The Very Best of the Honeycombs.jpg","Have I the Right - The Very Best of the Honeycombs","No description"
2067,"The Lion Sleeps Tonight.jpg","The Lion Sleeps Tonight","No description"
2068,"Ooh La La.jpg","Ooh La La","No description"
2069,"Lovin Spoonful Anthology.jpg","Lovin Spoonful Anthology","No description"
2070,"The Best of Edgar Winter.jpg","The Best of Edgar Winter","No description"
2071,"Vincebus Eruptum.jpg","Vincebus Eruptum","No description"
2072,"Bad As Me.jpg","Bad As Me","No description"
2073,"Rock 'N' Roll Is Free - Single.jpg","Rock 'N' Roll Is Free - Single","No description"
2074,"Motorhead_Bad_Magic.jpg","Bad Magic","No description"
2075,"The Dave Clark Five_ The Hits (Bonus Track Version).jpg","The Dave Clark Five_ The Hits (Bonus Track Version)","No description"
2076,"Coasters_The Very Best Of The Coasters.jpg","The Very Best Of The Coasters","No description"
2077,"FloridaGeargiaLine_AnythingGoes.jpg","Anything Goes","No description"
2078,"Waylon and Willie.jpeg","Waylon and Willie","No description"
2079,"Bread_The_Best_of_Bread.jpg","The Best Of Bread","No description"
2080,"V.S.O.P.jpg","V.S.O.P","No description"
2081,"For the Lonely_ 18 Greatest Hits.png","For the Lonely_ 18 Greatest Hits","No description"
2082,"Greatest Hits (Re-Recorded Versions).jpg","Greatest Hits (Re-Recorded Versions)","No description"
2083,"Sideways - Single.jpg","Sideways - Single","No description"
2084,"Trust - EP.jpg","Trust - EP","No description"
2085,"Steelers Wheel - Stuck in the Middle (Ricketic Edit) - Single.jpg","Steelers Wheel - Stuck in the Middle (Ricketic Edit) - Single","No description"
2086,"_Let's Rock_.jpg","_Let's Rock_","No description"
2087,"Joe Walsh's Greatest Hits_ Little Did He Know....jpg","Joe Walsh's Greatest Hits_ Little Did He Know.._","No description"
2088,"Roberta Flack & Donny Hathaway.jpg","Roberta Flack & Donny Hathaway","No description"
2089,"The Ultimate Collection_ Martha Reeves & The Vandellas.jpg","The Ultimate Collection_ Martha Reeves & The Vandellas","No description"
2090,"Fireworks.jpg","Fireworks","No description"
2091,"Feliz Navidad.jpg","Feliz Navidad","No description"
2092,"B.J. Thomas_ Greatest Hits.jpg","B.J. Thomas_ Greatest Hits","No description"
2093,"Them Featuring Van Morrison.jpg","Them Featuring Van Morrison","No description"
2094,"Radio Hits of the '70s.jpg","Radio Hits of the '70s","No description"
2095,"Best of Steppenwolf_ 20th Century Masters.jpg","Best of Steppenwolf_ 20th Century Masters","No description"
2096,"Huey Lewis_The News Greatest Hits.jpg","Huey Lewis & The News Greatest Hits","No description"
2097,"Home Phantoms of Summer The Acoustic Sessions.jpg","Home Phantoms of Summer The Acoustic Sessions","No description"
2098,"Amnesiac.jpg","Amnesiac","No description"
2099,"Call Me.jpg","Call Me","No description"
2100,"Constant Future.jpg","Constant Future","No description"
2101,"Hard Times.jpg","Hard Times","No description"
2102,"Celtic Christmas.jpg","Celtic Christmas","No description"
2103,"The Best of Little Feat (Remastered).jpg","The Best of Little Feat (Remastered)","No description"
2104,"My Aim Is True.jpg","My Aim Is True","No description"
2105,"Stacked Deck (Remastered).jpg","Stacked Deck (Remastered)","No description"
2106,"Goin' Back To New Orleans.jpg","Goin' Back To New Orleans","No description"
2107,"Fields.jpg","Fields","No description"
2108,"Californication.jpg","Californication","No description"
2109,"The Roller - Single.jpg","The Roller - Single","No description"
2110,"Dirt Siver Gold.jpg","Dirt Siver Gold","No description"
2111,"Slippery When Wet.jpg","Slippery When Wet","No description"
2112,"Bon Jovi.jpg","Bon Jovi","No description"
2113,"MenAtWork_BizAsUsual.png","Business As Usual","No description"
2114,"Dust Bowl Ballads Sung by Woody Guthrie.jpg","Dust Bowl Ballads Sung by Woody Guthrie","No description"
2115,"StrayCats_Built_For_Speed_cover.jpg","Built For Speed","No description"
2116,"Songs from the Mountain.jpg","Songs from the Mountain","No description"
2117,"Cornbread Nation.jpg","Cornbread Nation","No description"
2118,"Dvorak Symphony 9 E Minor.jpg","Dvorak Symphony 9 E Minor","No description"
2119,"Fork in the Road.jpg","Fork in the Road","No description"
2120,"Night Train.jpg","Night Train","No description"
2121,"Unmistakable Drive.jpg","Unmistakable Drive","No description"
2122,"Of Rivers and Religion _ After the Ball.jpg","Of Rivers and Religion _ After the Ball","No description"
2123,"Suzie Q & Let's All Twist.jpg","Suzie Q & Let's All Twist","No description"
2124,"The Seeds.jpg","The Seeds","No description"
2125,"Midnight On the Water David Bromberg Band.jpg","Midnight On the Water David Bromberg Band","No description"
2126,"Georgia Satellites.jpg","Georgia Satellites","No description"
2127,"Love Songs_ Neil Sedaka.jpg","Love Songs_ Neil Sedaka","No description"
2128,"The Blue Danube Waltz.jpg","The Blue Danube Waltz","No description"
2129,"PeteTownsend_Rough Mix.jpg","Rough Mix","No description"
2130,"mamas and papas greatest hits.jpeg","The Mamas & The Papas Greatest Hits","No description"
